question,id,gold_standard_answer
Come posso aiutare il mio bambino a sentirsi più a suo agio con le persone sconosciute?,833,"In base al testo di riferimento, per aiutare il bambino a entrare in relazione con gli sconosciuti ed evitare di ingigantire le sue paure, è possibile adottare alcune attenzioni pedagogiche:

* **Fare il primo passo per dare il buon esempio:** mostrate al bambino che la persona estranea non rappresenta un pericolo compiendo azioni concrete che lui possa osservare e seguire, come:
  * Aprire la porta di casa e salutare amichevolmente i visitatori.
  * Entrare per primi nella stanza del pediatra al momento della visita (in modo che il bambino vi segua).
  * Mostrare al piccolo come accarezzare la barba del nonno (che può sembrargli spaventosa).
* **Rispettare i suoi limiti:** non costringete mai il bambino a baciare, essere baciato o abbracciato da una persona verso la quale manifesta paura."
"Ostetrica, ho notato un piccolo puntino marroncino sulla manina del mio bambino. È normale?",567,"In base al testo di riferimento, può stare tranquilla: il puntino marroncino sul dorso della manina del bambino è un neo benigno, nello specifico presenta l'aspetto tipico del **neo di Clark**. 

Le caratteristiche che lo rendono benigno sono:
* È perfettamente circolare;
* Ha i bordi sfumati;
* È monocolore;
* Ha un aspetto reticolato-puntiforme.

Per poter osservare ogni dettaglio del neo, si utilizza il **dermatoscopio** (una sorta di piccolo cannocchiale che si appoggia sul neo per ingrandirlo e illuminarlo). Tramite questo strumento si devono valutare quattro caratteristiche, la prima delle quali è l'**Asimmetria**."
Quali sono i sintomi del diabete gestazionale e come posso riconoscerli durante la gravidanza?,950,"In base al testo di riferimento fornito, non vengono elencati sintomi fisici specifici per riconoscere il diabete gestazionale. 

Il testo indica che, come per altri tipi di diabete, la condizione comporta l'impossibilità per l'organismo di utilizzare tutti gli zuccheri introdotti con il cibo (come dolci, pane, pasta, riso e frutta), i quali rimangono in circolo nel sangue determinando un aumento dei livelli di zucchero (glicemia). 

Inoltre, viene specificato che la definizione e la diagnosi della patologia sono rese difficili dal fatto che i livelli di glucosio nel sangue aumentano fisiologicamente durante la gravidanza, e non esiste una distinzione netta tra le donne affette da diabete mellito gestazionale che hanno un aumentato rischio di esiti avversi e quelle che, pur essendo definibili come affette, non presentano tali rischi aumentati."
Quali sono le principali difficoltà che una mamma può affrontare durante la fase del post-parto?,922,"In base al testo di riferimento, le principali difficoltà che una mamma può affrontare durante la fase del post-parto (che può rivelarsi particolarmente dura) includono:

* Il bisogno di sostegno pratico ed emotivo;
* Il fatto che, spesso in queste circostanze, le mamme vedono il bambino solo in un secondo momento;
* La gestione di eventuali altri figli a casa;
* Lo stress causato dalle richieste di informazioni da parte di amici e parenti;
* L'accresciuta solitudine dovuta alla pandemia di COVID-19, che limita gli aiuti pratici che possono essere offerti ai neogenitori;
* Un sovraccarico di preoccupazioni."
Quali sono i sintomi della scarlattina e come posso riconoscerla rispetto ad altre malattie esantematiche?,362,"In base al testo di riferimento fornito:

* **Sintomi:** Il testo non elenca sintomi dettagliati, ma indica che la scarlattina si presenta con un **esantema** (un'eruzione cutanea) e che di solito si manifesta in forma non molto grave, pur essendo altamente contagiosa.
* **Come riconoscerla rispetto ad altre malattie:** Il testo non fornisce indicazioni su come distinguere la scarlattina dalle altre malattie esantematiche. Al contrario, specifica che la scarlattina **può essere confusa** con il morbillo, la rosolia, la quinta e la sesta malattia proprio perché si presentano tutte con un esantema simile."
"Se il mio bambino è esposto a due lingue diverse, sarà in grado di riconoscerle alla nascita?",773,"In base al testo di riferimento, il bambino sarà in grado di differenziare le due lingue alla nascita solo a condizione che esse siano molto diverse tra loro, come ad esempio l'inglese e l'italiano, oppure l'inglese e il giapponese. 

Se invece le due lingue si assomigliano molto, come l'italiano e lo spagnolo, il bambino non le distinguerà alla nascita, ma sarà in grado di farlo più tardi, intorno ai 4-5 mesi di età."
Quali sono le regole da seguire riguardo all'uso dei videoschermi durante la gravidanza e dopo la nascita del bambino?,627,"In base al testo di riferimento fornito, non sono presenti informazioni o regole specifiche riguardanti l'uso dei videoschermi durante la gravidanza e dopo la nascita del bambino. 

Il testo menziona unicamente, in via generale, alcune regole relative ai videoschermi e alla tecnologia, che includono:
* Il tempo da dedicare ai videoschermi;
* L'uso di Internet solo in casa;
* La collocazione del PC in una zona della casa accessibile a chiunque;
* L'inserimento di password e filtri di controllo parentale."
Quali sono i rischi associati all'esposizione ai dispositivi digitali per i bambini piccoli?,624,"In base al testo di riferimento, i rischi associati all'esposizione agli schermi per i bambini piccoli riguardano le conseguenze sull'attenzione. 

In particolare, gli studi documentano che:
* Esiste un rapporto diretto tra la durata dell'esposizione agli schermi e le conseguenze sull'attenzione di bambini e ragazzi.
* Un bambino piccolo che fruisce di un'ora di TV al giorno corre un rischio di sviluppare un deficit di attenzione due volte superiore rispetto a chi non la guarda."
Quali suoni posso aspettarmi di sentire per primi nel mio bambino?,855,"In base al testo di riferimento, i primi suoni che di solito diventano disponibili e che può aspettarsi di sentire nel suo bambino sono:

* **Le vocali**: a livello fonetico sono sette, poiché la ""e"" e la ""o"" presentano sia la variante chiusa che quella aperta (“e”/“è”, “o”/“ho”);
* **Le consonanti prodotte accostando le labbra**: (m-p-b);
* **Le consonanti che nascono dal dorso della lingua che tocca il palato**: (t-d-n-l)."
Quali comportamenti di buona salute dovremmo adottare per il nostro bambino appena nato?,609,"In base al testo di riferimento fornito, non vengono elencati specifici comportamenti di buona salute, ma si specifica che:

* Non si tratta di medicine, ma di comportamenti che dovrebbero essere sempre offerti a tutti i bambini e ai loro genitori.
* È fondamentale prestare attenzione alla depressione post-partum, una malattia che non colpisce direttamente il bambino ma la mamma, e che rappresenta una causa per cui il lattante piange molto."
