ID,Domanda,Source,Type,Subtype
1,Quali sono i sintomi più comuni dell'infezione da SARS-CoV-2 nelle donne in gravidanza?,ISS,Informative,General
2,Come funziona il test di gravidanza e quali sono le differenze tra il test urinario e il test del sangue?,ISS,Informative,Procedure
3,Quali sono i motivi per cui una donna può richiedere un'interruzione volontaria di gravidanza in Italia?,ISS,Informative,General
4,Quali sono le malattie infettive più pericolose da contrarre in gravidanza per il mio bambino?,ISS,Informative,General
5,È vietato assumere farmaci durante la gravidanza e l'allattamento?,ISS,Informative,Deontic
6,A cosa serve il test combinato in gravidanza?,ISS,Informative,General
7,Quali sono i sintomi più comuni della malaria?,ISS,Informative,General
8,Durante la gravidanza si deve mangiare per due?,ISS,Informative,General
9,È pericoloso fare attività fisica in gravidanza?,ISS,Informative,Deontic
10,Cosa si intende per diagnosi prenatale e quali sono gli obiettivi principali di questa pratica?,ISS,Informative,Procedure
11,Quali sono i principali problemi di salute legati alla talassemia?,ISS,Informative,General
12,Quali sono le principali classi di farmaci antiemetici e quali sono i loro meccanismi d'azione?,ISS,Informative,General
13,Quali sono i principali disturbi (sintomi) che possono verificarsi nelle persone con anemia falciforme?,ISS,Informative,General
14,Quali sono i sintomi più comuni della rosolia negli adulti durante i primi cinque giorni di malattia?,ISS,Informative,General
15,Che cosa sono i livelli normali di glicemia nel sangue dopo 8 ore di digiuno?,ISS,Informative,General
16,Quali sono i rischi per la salute orale durante la gravidanza e come posso prevenirli?,ISS,Informative,General
17,Quali sono i sintomi più comuni della palatoschisi nei neonati e nei bambini?,ISS,Informative,General
18,Come può essere identificata la sindrome di Down durante la gravidanza?,ISS,Informative,Procedure
19,Cos'è la villocentesi e quali sono le sue finalità?,ISS,Informative,Procedure
20,Che cos'è l'amniocentesi e a cosa serve?,ISS,Informative,Procedure
21,Qual è la percentuale di donne in gravidanza che soffrono di insonnia nel terzo trimestre?,ISS,Informative,General
22,È vero che le donne in gravidanza non rischiano di infettarsi con il nuovo Coronavirus (SARS-CoV-2)?,ISS,Informative,Verdictive
23,Quali sono i disturbi più comuni causati dall'infezione da clamidia?,ISS,Informative,General
24,Perché è importante fare un'ecocardiografia fetale e in quali casi è consigliata?,ISS,Informative,Clarification
25,Con una malattia cronica non avrò mai figli?,ISS,Evaluative,Epistemic
26,Quali sono le tecniche di procreazione medicalmente assistita di I livello?,ISS,Informative,General
27,Durante l'allattamento posso rimanere incinta?,ISS,Informative,Deontic
28,Come viene trasmesso il virus Zika?,ISS,Informative,Procedure
29,Quali sono i sintomi principali dell'endometriosi?,ISS,Informative,General
30,Quali sono i fattori genetici e ambientali che possono contribuire allo sviluppo dell'asma?,ISS,Informative,General
31,Quali sono i sintomi principali della varicella e come si manifesta l'esantema cutaneo?,ISS,Informative,General
32,È sicuro fare il bagno al mare durante la gravidanza?,ISS,Informative,Deontic
33,Cosa è il test del DNA fetale e a cosa serve?,ISS,Informative,General
34,Quali sono le principali fonti di vitamina K1 e K2?,ISS,Informative,General
35,Qual è l'obiettivo della terapia antiepilettica?,ISS,Informative,Procedure
36,Cosa sono le vene varicose e quali sono i sintomi associati?,ISS,Informative,General
37,Quando è consigliato fare l'esame per lo streptococco di gruppo B durante la gravidanza?,ISS,Informative,Clarification
38,Quali sono le principali strategie di prevenzione contro l'influenza?,ISS,Informative,Procedure
39,Cos'è la gonorrea e come si trasmette?,ISS,Informative,General
40,Cosa sono gli analgesici e quali sono i principali tipi disponibili in commercio?,ISS,Informative,General
41,Quali sono i sintomi della sifilide e come si manifesta la malattia nel corpo?,ISS,Informative,General
42,Quali sono i sintomi iniziali dell'arterite di Takayasu e come possono variare da persona a persona?,ISS,Informative,General
43,Quali sono le principali cause del dolore al seno?,ISS,Informative,General
44,Quali sono le conseguenze di una incompatibilità Rh durante la gravidanza?,ISS,Informative,General
45,Quali sono i rischi per la salute del mio bambino legati all'autoimmunità durante la gravidanza?,ISS,Informative,General
46,Quali sono le cause della paralisi cerebrale infantile?,ISS,Informative,General
47,Quali sono i segni e sintomi dell'anoressia nervosa?,ISS,Informative,General
48,Cosa misura il test del glucosio?,ISS,Informative,General
49,Quali sono le principali fonti alimentari di vitamina B9?,ISS,Informative,General
50,Qual è il nome scientifico del virus che causa la quinta malattia?,ISS,Informative,General
51,Quali sono le modalità di trasmissione dell'HIV?,ISS,Informative,Procedure
52,Cosa causa l'anemia di Fanconi?,ISS,Informative,General
53,Posso avere figli nonostante la mia malattia reumatica?,ISS,Evaluative,Epistemic
54,Quali sono i principali disturbi (sintomi) causati dalla sindrome di Behçet?,ISS,Informative,General
55,Quando è consigliato fare un'ecografia durante la gravidanza?,ISS,Informative,Procedure
56,Quali sono le cause dell'ernia ombelicale nei neonati e nei bambini?,ISS,Informative,General
57,Quali sono le principali carenze nutrizionali che possono verificarsi in chi segue una dieta vegana?,ISS,Informative,General
58,Qual è l'ingrediente principale presente negli autoabbronzanti e come agisce sulla pelle?,ISS,Informative,Procedure
59,Posso fare il vaccino antinfluenzale se sono incinta?,ISS,Informative,Deontic
60,Con il coito interrotto è sicuro che non rimango incinta?,ISS,Informative,Deontic
61,Che cos'è il diabete gestazionale e quali sono i rischi associati ad esso?,ISS,Informative,General
62,Cosa è la trisomia 18 e quali sono le cause?,ISS,Informative,General
63,Cosa sono le infezioni alimentari e quali sono i principali sintomi?,ISS,Informative,General
64,Cos'è la Neurofibromatosi 1 e quali sono le sue manifestazioni principali?,ISS,Informative,General
65,Quali sono le cause più comuni dell'infertilità femminile?,ISS,Informative,General
66,Cosa sono i metalli pesanti negli alimenti?,ISS,Informative,General
67,Perché è importante vaccinare i bambini contro l'influenza?,ISS,Informative,Clarification
68,Quali sono le cause principali delle infezioni delle vie urinarie?,ISS,Informative,General
69,Bere birra fa produrre più latte?,ISS,Informative,Verdictive
70,Quali sono le principali tipologie di farmaci miorilassanti e come agiscono sul corpo?,ISS,Informative,Procedure
71,Quali sono i diversi tipi di emicrania che si distinguono?,ISS,Informative,General
72,Cosa è una dieta vegetariana e quali alimenti sono esclusi?,ISS,Informative,General
73,È vero che le donne che decidono di vaccinarsi contro il COVID-19 durante l’allattamento devono sospenderlo?,ISS,Informative,Verdictive
74,Quali sono le cause delle emorroidi?,ISS,Informative,General
75,Cosa si intende per urinocoltura e a cosa serve?,ISS,Informative,Procedure
76,Cosa sono i soffi cardiaci e quali sono le possibili cause?,ISS,Informative,General
77,Quali sono i principali tipi di glaucoma e le relative caratteristiche?,ISS,Informative,General
78,Cosa sono gli enzimi di HIV bloccati dai farmaci antiretrovirali?,ISS,Informative,General
79,Quali sono i sintomi tipici dell'appendicite?,ISS,Informative,General
80,Quali sono i sintomi tipici della malattia di Huntington?,ISS,Informative,General
81,Quali sono le principali funzioni della vitamina C nel nostro organismo?,ISS,Informative,General
82,Quali sono i sintomi più comuni dell'anemia da carenza di ferro?,ISS,Informative,General
83,Cos'è un angioma e quali sono le sue caratteristiche principali?,ISS,Informative,General
84,Cosa sono le vitamine e quali sono le loro funzioni nell'organismo?,ISS,Informative,General
85,Quali sono i sintomi più comuni del carcinoma ovarico?,ISS,Informative,General
86,Quali sono i disturbi più comuni causati dalla sindrome del tunnel carpale?,ISS,Informative,General
